Product,ExpiryDate,Symbol,Strike,PutCall,Name,Position,Theo,Delta,Theta,Vega,Gamma,ActualVolatility,TimeToExpiry,ImpliedVolatility
Future,2021-09-15,STERL,0,Undefined,STERL Sep Future,0,99.315,1,0,0,0,0,2.15979832572293,0
Future,2021-09-15,STERL,0,Undefined,STERL Sep Future,-3355,99.315,1,0,0,0,0,2.15979832572293,0
Future,2021-09-15,STERL,0,Undefined,STERL Sep Future,-3355,99.315,1,0,0,0,0,2.15979832572293,0
Future,2022-09-19,FEU3,0,Undefined,FEU3 Sep Future,-581,100.3225,1,0,0,0,0,3.17075722983259,0
Option,2020-03-13,OSTERLMC,98.875,Put,OSTERLMC Mar Option,0,0.03619877932991,-0.153011236473405,-0.000226345879334,0.188104254042448,0.511532395156137,0.005724689820408,0.651265038758766,0
Option,2020-03-18,OSTERL,99.875,Call,OSTERL Mar Option,3750,0.01727759243836,0.098684197468867,-0.000133687830426,0.138392650072945,0.456405037648027,0.004692157077505,0.664926240944624,0.452445101051304
Future,2021-12-13,FEU3,0,Undefined,FEU3 Dec Future,-1388,100.4475,1,0,0,0,0,2.40363394216138,0
Future,2020-12-14,FEU3,0,Undefined,FEU3 Dec Future,3210,100.5525,1,0,0,0,0,1.40650183292996,0
Option,2020-06-15,OEU3,100.75,Call,OEU3 Jun Option,1500,0.024614462418837,0.196187410721785,-9.3912879972832E-05,0.266057616343486,1.22723472542099,0.002341244796655,0.907981796500053,0.230670605559437
Future,2020-06-17,STERL,0,Undefined,STERL Jun Future,245,99.395,1,0,0,0,0,0.91469855424134,0
Future,2020-06-17,STERL,0,Undefined,STERL Jun Future,245,99.395,1,0,0,0,0,0.91469855424134,0
Option,2020-03-13,OEU3MC,100.375,Call,OEU3MC Mar Option,3100,0.200330075168184,0.715698308909597,-0.000191759260053,0.276214861762952,1.24585606739551,0.003302260772125,0.651151195407238,0
Option,2020-03-13,OEU3MC,100.5,Call,OEU3MC Mar Option,-2000,0.113547010447514,0.54378125789971,-0.000207207133831,0.323144356024958,1.5730838351469,0.003050072698447,0.651151195407238,0
Option,2020-06-15,OEU3,100.25,Put,OEU3 Jun Option,-1400,0.011674124883947,-0.105118740477336,-6.43942460756653E-05,0.169434852102892,0.740880475361767,0.002520819077884,0.907981796500053,0.249283004161961
Option,2020-03-16,OEU3,100.25,Put,OEU3 Mar Option,2000,0.006392110771968,-0.071396638900344,-5.64838344346543E-05,0.111038613724526,0.701052631268801,0.002450106705006,0.659347916718616,0.243274247755291
Option,2020-03-18,OSTERL,98.375,Put,OSTERL Mar Option,0,0.00456547648632,-0.02355031868921,-5.83152818117976E-05,0.04496251331524,0.118190128047055,0.006299781576495,0.664926240944624,0.576385012160816
Future,2021-03-15,FEU3,0,Undefined,FEU3 Mar Future,-408,100.5275,1,0,0,0,0,1.6556887366819,0
Future,2021-03-15,FEU3,0,Undefined,FEU3 Mar Future,-408,100.5275,1,0,0,0,0,1.6556887366819,0
Future,2022-12-19,FEU3,0,Undefined,FEU3 Dec Future,883,100.2725,1,0,0,0,0,3.42007229832575,0
Option,2020-03-13,OEU3MC2,100.25,Call,OEU3MC2 Mar Option,500,0.221453998533878,0.701037921449134,-0.000226255421946,0.28255254199207,1.10657047285944,0.003808919893871,0.651151195407238,0
Option,2020-03-16,OEU3,100.375,Call,OEU3 Mar Option,1000,0.18393498197721,0.826091749314688,-9.37615148671094E-05,0.2083829746749,1.43802716564909,0.002167191260816,0.659347916718616,0.22173433289609
Option,2020-03-18,OSTERL,99.75,Call,OSTERL Mar Option,13850,0.029495099410634,0.157053782985673,-0.000178776239784,0.193152507932294,0.654496220888027,0.004495760215169,0.664926240944624,0.452150814279732
Option,2020-03-13,OSTERLMC,99.25,Put,OSTERLMC Mar Option,-5000,0.138381132564556,-0.414681396730429,-0.000376040851311,0.314054186133603,0.836024006762517,0.005696504251169,0.651265038758766,0
Option,2020-03-13,OSTERLMC,99.25,Put,OSTERLMC Mar Option,-5000,0.138381132564556,-0.414681396730429,-0.000376040851311,0.314054186133603,0.836024006762517,0.005696504251169,0.651265038758766,0
Option,2020-03-13,OSTERLMC2,99.625,Call,OSTERLMC2 Mar Option,-250,0.08128133773658,0.255509045420027,-0.000359962456717,0.257073965000227,0.593285136367185,0.006661577678975,0.651265038758766,0
Option,2020-03-18,OSTERL,98.75,Put,OSTERL Mar Option,1000,0.009420188114987,-0.057636230679224,-9.1217510103362E-05,0.090655526115529,0.292583641685953,0.004887397063426,0.664926240944624,0.449519341565775
Option,2020-03-18,OSTERL,98.75,Put,OSTERL Mar Option,0,0.009420188114987,-0.057636230679224,-9.1217510103362E-05,0.090655526115529,0.292583641685953,0.004887397063426,0.664926240944624,0.449519341565775
Option,2020-03-13,OSTERLMC,99.375,Call,OSTERLMC Mar Option,-500,0.172053908060751,0.477800078365752,-0.000389004388766,0.320818873941443,0.842007581597445,0.005768628565522,0.651265038758766,0
Option,2020-03-13,OSTERLMC,98.75,Put,OSTERLMC Mar Option,-4000,0.022018566330151,-0.102614548574524,-0.000170868527479,0.139756057392584,0.378701894335778,0.005816602981711,0.651265038758766,0.593163008202165
Option,2020-03-13,OSTERLMC2,99.75,Call,OSTERLMC2 Mar Option,1250,0.055313745047893,0.18707189687767,-0.000304315961746,0.215505309652376,0.496722678448245,0.006718073370924,0.651265038758766,0
Future,2022-06-13,FEU3,0,Undefined,FEU3 Jun Future,9,100.37,1,0,0,0,0,2.9022640791477,0
Option,2020-03-13,OEU3MC2,100.375,Call,OEU3MC2 Mar Option,-500,0.140670540008836,0.548994969056285,-0.000252391784805,0.32228138320456,1.28935972973381,0.003725135360124,0.651151195407238,0
